,time,bid_ask,round
0,19129,-1,896
1,19130,-1,896
2,19131,-1,896
3,19132,-1,896
4,19133,-1,896
5,19134,-1,896
6,19135,-1,896
7,19136,-1,896
8,19137,-1,896
9,19138,-1,896
10,19139,-1,896
11,19140,-1,896
12,19141,-1,896
13,19142,-1,896
14,19143,-1,896
15,19144,-1,896
16,19145,-1,896
17,19146,515,896
18,19147,515,896
19,19148,515,896
20,19149,425,896
21,19150,340,896
22,19151,340,896
23,19152,340,896
24,19153,340,896
25,19154,340,896
26,19155,340,896
27,19156,340,896
28,19157,325,896
29,19158,325,896
30,19159,340,896
31,19160,340,896
32,19161,340,896
33,19162,340,896
34,19163,340,896
35,19164,35,896
36,19165,35,896
37,19166,35,896
38,19167,35,896
39,19168,340,896
40,19169,225,896
41,19170,225,896
42,19171,175,896
43,19172,175,896
44,19173,175,896
45,19174,175,896
46,19175,175,896
47,19176,175,896
48,19177,225,896
49,19178,225,896
50,19179,225,896
51,19180,225,896
52,19181,190,896
53,19182,190,896
54,19183,190,896
55,19184,190,896
56,19185,225,896
57,19186,225,896
58,19187,225,896
59,19188,210,896
60,19189,210,896
61,19190,210,896
62,19191,225,896
63,19192,225,896
64,19193,225,896
65,19194,225,896
66,19195,225,896
67,19196,225,896
68,19197,220,896
69,19198,220,896
70,19199,220,896
71,19200,220,896
72,19201,220,896
73,19202,220,896
74,19203,220,896
75,19204,220,896
76,19205,220,896
77,19206,220,896
78,19207,220,896
79,19208,220,896
80,19209,225,896
81,19210,225,896
82,19211,225,896
83,19212,225,896
84,19213,260,896
85,19214,310,896
86,19215,310,896
87,19216,310,896
88,19217,310,896
89,19218,310,896
90,19219,220,896
91,19220,220,896
92,19221,220,896
93,19222,310,896
94,19223,280,896
95,19224,280,896
96,19225,310,896
97,19226,310,896
98,19227,310,896
99,19228,230,896
100,19229,230,896
101,19230,310,896
102,19231,310,896
103,19232,220,896
104,19233,220,896
105,19234,220,896
106,19235,310,896
107,19236,55,896
108,19237,55,896
109,19238,55,896
110,19239,135,896
111,19240,55,896
112,19241,55,896
113,19242,230,896
114,19243,310,896
115,19244,230,896
116,19245,425,896
117,19246,425,896
118,19247,360,896
119,19248,10,896
120,19249,10,896
121,19250,360,896
122,19251,360,896
123,19252,110,896
124,19253,110,896
125,19254,110,896
126,19255,105,896
127,19256,105,896
128,19257,110,896
129,19258,110,896
130,19259,360,896
131,19260,360,896
132,19261,360,896
133,19262,360,896
134,19263,360,896
135,19264,5,896
136,19265,5,896
137,19266,90,896
138,19267,180,896
139,19268,180,896
140,19269,515,896
141,19270,515,896
142,19271,515,896
143,19272,515,896
144,19273,515,896
145,19274,515,896
146,19275,515,896
147,19276,515,896
148,19277,370,896
149,19278,370,896
150,19279,440,896
151,19280,440,896
152,19281,440,896
153,19282,440,896
154,19283,440,896
155,19284,415,896
156,19285,415,896
157,19286,415,896
158,19287,440,896
159,19288,440,896
