,time,bid_ask,round
0,19141,-1,896
1,19157,325,896
2,19166,35,896
3,19184,225,896
4,19211,225,896
5,19212,175,896
6,19220,220,896
7,19223,280,896
8,19228,230,896
9,19233,220,896
10,19233,220,896
11,19237,55,896
12,19240,55,896
13,19241,55,896
14,19243,310,896
15,19243,230,896
16,19245,425,896
17,19248,10,896
18,19248,10,896
19,19255,105,896
20,19257,110,896
21,19264,5,896
22,19264,5,896
23,19264,5,896
24,19264,5,896
25,19265,5,896
26,19267,180,896
27,19277,370,896
28,19285,415,896
29,19299,415,896
30,19313,415,896
31,19320,15,896
32,19320,15,896
33,19320,15,896
34,19330,180,896
35,19344,5,896
36,19344,5,896
37,19352,85,896
38,19398,60,896
39,19402,5,896
40,19407,60,896
41,19409,65,896
42,19411,5,896
43,19415,60,896
44,19422,60,896
45,19424,60,896
46,19429,60,896
47,19762,10,897
48,19766,-1,897
49,19771,10,897
50,19773,-1,897
51,19776,-1,897
52,19780,10,897
53,19783,195,897
54,19784,195,897
55,19787,10,897
56,19797,25,897
57,19811,190,897
58,19811,190,897
59,19822,190,897
60,19826,190,897
61,19854,155,897
62,19855,155,897
63,19855,155,897
64,19856,160,897
65,19959,60,897
66,19970,105,897
67,19970,105,897
68,19972,105,897
69,19974,105,897
70,19974,105,897
71,19975,125,897
72,19977,125,897
73,19997,120,897
74,20037,90,897
75,20311,95,898
76,20311,95,898
77,20314,35,898
78,20318,35,898
79,20328,105,898
80,20333,105,898
81,20408,50,898
82,20427,100,898
83,20427,100,898
84,20427,100,898
85,20427,100,898
86,20435,140,898
87,20437,140,898
88,20442,130,898
89,20444,140,898
90,20447,140,898
91,20449,130,898
92,20452,130,898
93,20492,5,898
94,20492,5,898
95,20497,80,898
96,20497,80,898
97,20644,-1,899
98,20709,110,899
99,20717,35,899
100,20718,35,899
101,20718,35,899
102,20721,25,899
103,20740,20,899
104,20744,15,899
105,20772,20,899
106,20801,80,899
107,20824,15,899
108,20832,65,899
109,20833,65,899
110,20837,65,899
111,20864,50,899
112,20874,5,899
113,20874,5,899
114,20876,15,899
115,20878,15,899
116,20919,15,899
117,20881,25,899
118,20884,5,899
119,20895,10,899
120,20895,10,899
121,20895,10,899
122,20900,5,899
123,20903,5,899
124,20918,5,899
125,20921,-1,899
126,21086,125,900
127,21088,130,900
128,21090,170,900
129,21093,180,900
130,21095,180,900
131,21098,165,900
132,21101,120,900
133,21103,120,900
134,21106,140,900
135,21111,85,900
136,21111,85,900
137,21114,-1,900
138,21159,60,900
139,21162,55,900
140,21165,50,900
141,21168,55,900
142,21170,60,900
143,21173,60,900
144,21209,35,900
145,21223,10,900
146,21227,10,900
147,21233,15,900
148,21235,15,900
149,21279,25,900
150,21241,5,900
151,21252,5,900
152,21254,5,900
153,21256,40,900
154,21256,40,900
155,21256,40,900
156,21278,15,900
157,21278,15,900
158,21558,15,901
159,21567,30,901
160,21567,30,901
161,21568,30,901
162,21572,30,901
163,21575,70,901
164,21579,30,901
165,21582,60,901
166,21587,30,901
167,21589,35,901
168,21649,15,901
169,21660,10,901
170,21661,10,901
171,21671,15,901
172,21706,35,901
173,21734,35,901
174,21853,10,902
175,21862,10,902
176,21873,10,902
177,21878,10,902
178,21885,10,902
179,21888,20,902
180,21890,40,902
181,21893,185,902
182,21895,185,902
183,21902,85,902
184,21909,85,902
185,21913,85,902
186,21918,65,902
187,21935,50,902
188,21979,85,902
189,21987,45,902
190,21987,45,902
191,21996,-1,902
192,21996,-1,902
193,22182,-1,903
194,22185,-1,903
195,22188,-1,903
196,22192,115,903
197,22196,70,903
198,22202,75,903
199,22208,35,903
200,22209,35,903
201,22209,35,903
202,22214,35,903
203,22215,75,903
204,22218,115,903
205,22218,115,903
206,22223,35,903
207,22223,35,903
208,22223,35,903
209,22224,115,903
210,22225,115,903
211,22225,115,903
212,22226,40,903
213,22230,35,903
214,22243,35,903
215,22249,35,903
216,22249,35,903
217,22250,35,903
218,22250,40,903
