Order_ID,Participant,Type,Period_IF_Robot
168264,0,Manual,-1
168270,0,Manual,-1
168290,0,ROBOT,0
168299,0,ROBOT,0
168305,0,ROBOT,0
168312,0,ROBOT,0
168341,0,Manual,-1
168419,0,ROBOT,0
168424,0,ROBOT,0
168431,0,ROBOT,0
168435,0,ROBOT,0
168439,0,ROBOT,0
168442,0,ROBOT,0
168448,0,ROBOT,0
168452,0,ROBOT,1
168533,0,Manual,-1
168542,0,Manual,-1
168544,0,ROBOT,1
168563,0,ROBOT,1
168578,0,ROBOT,1
168580,0,ROBOT,1
168584,0,ROBOT,1
168590,0,ROBOT,1
168593,0,Manual,-1
168620,0,ROBOT,1
168629,0,ROBOT,2
168661,0,ROBOT,2
168664,0,ROBOT,2
168738,0,ROBOT,2
168759,0,ROBOT,3
168781,0,ROBOT,3
168783,0,ROBOT,3
168789,0,ROBOT,3
168796,0,ROBOT,3
168807,0,ROBOT,3
168810,0,ROBOT,3
168829,0,ROBOT,3
168847,0,Manual,-1
168880,0,Manual,-1
168882,0,Manual,-1
168994,0,Manual,-1
169008,0,ROBOT,4
169014,0,ROBOT,4
169016,0,ROBOT,4
169020,0,ROBOT,4
169033,0,Manual,-1
169062,0,ROBOT,5
169154,0,ROBOT,6
169155,0,ROBOT,6
169159,0,ROBOT,6
169164,0,ROBOT,6
169167,0,ROBOT,6
169171,0,ROBOT,6
169215,0,ROBOT,6
169231,0,ROBOT,6
169237,0,ROBOT,7
169266,0,ROBOT,7
169269,0,ROBOT,7
169271,0,ROBOT,7
169274,0,ROBOT,7
169280,0,ROBOT,7
169291,0,ROBOT,7
169295,0,ROBOT,7
169297,0,ROBOT,7
169300,0,ROBOT,7
169302,0,Manual,-1
169322,0,ROBOT,7
169324,0,ROBOT,7
169326,0,ROBOT,7
169328,0,ROBOT,7
169393,0,ROBOT,8
169616,0,ROBOT,10
169624,0,ROBOT,11
169627,0,ROBOT,11
169630,0,ROBOT,11
169632,0,ROBOT,11
169658,0,ROBOT,11
169723,0,ROBOT,12
169747,0,ROBOT,12
169750,0,ROBOT,12
169753,0,ROBOT,12
169758,0,ROBOT,12
169763,0,ROBOT,12
169765,0,ROBOT,12
169767,0,ROBOT,12
169772,0,ROBOT,12
169777,0,ROBOT,12
169779,0,ROBOT,12
169783,0,ROBOT,12
169786,0,ROBOT,12
169790,0,ROBOT,12
169792,0,ROBOT,12
169794,0,Manual,-1
169816,0,ROBOT,12
169857,0,ROBOT,12
169860,0,ROBOT,12
169891,0,ROBOT,13
169915,0,ROBOT,13
169938,0,ROBOT,14
169995,0,ROBOT,14
168265,1,ROBOT,0
168279,1,ROBOT,0
168283,1,Manual,-1
168296,1,Manual,-1
168304,1,Manual,-1
168310,1,Manual,-1
168333,1,ROBOT,0
168350,1,ROBOT,0
168355,1,Manual,-1
168359,1,Manual,-1
168362,1,Manual,-1
168366,1,Manual,-1
168375,1,Manual,-1
168378,1,ROBOT,0
168379,1,ROBOT,0
168394,1,Manual,-1
168415,1,Manual,-1
168453,1,Manual,-1
168457,1,ROBOT,1
168463,1,ROBOT,1
168468,1,Manual,-1
168475,1,Manual,-1
168480,1,Manual,-1
168481,1,ROBOT,1
168484,1,Manual,-1
168491,1,Manual,-1
168497,1,Manual,-1
168506,1,Manual,-1
168543,1,Manual,-1
168547,1,Manual,-1
168569,1,Manual,-1
168592,1,Manual,-1
168623,1,Manual,-1
168631,1,Manual,-1
168636,1,Manual,-1
168644,1,Manual,-1
168667,1,Manual,-1
168674,1,Manual,-1
168692,1,Manual,-1
168701,1,Manual,-1
168710,1,Manual,-1
168721,1,Manual,-1
168734,1,Manual,-1
168760,1,Manual,-1
168761,1,Manual,-1
168765,1,Manual,-1
168770,1,Manual,-1
168772,1,Manual,-1
168777,1,Manual,-1
168784,1,Manual,-1
168797,1,Manual,-1
168802,1,Manual,-1
168808,1,Manual,-1
168813,1,Manual,-1
168816,1,Manual,-1
168817,1,Manual,-1
168820,1,Manual,-1
168832,1,Manual,-1
168840,1,Manual,-1
168888,1,Manual,-1
168896,1,Manual,-1
168898,1,Manual,-1
168900,1,Manual,-1
168904,1,Manual,-1
168921,1,Manual,-1
168938,1,Manual,-1
168940,1,ROBOT,4
168943,1,Manual,-1
168948,1,Manual,-1
168952,1,Manual,-1
168957,1,Manual,-1
168958,1,Manual,-1
168971,1,Manual,-1
168981,1,Manual,-1
168983,1,Manual,-1
169010,1,Manual,-1
169012,1,ROBOT,4
169018,1,ROBOT,4
169034,1,Manual,-1
169048,1,Manual,-1
169051,1,Manual,-1
169053,1,Manual,-1
169056,1,Manual,-1
169057,1,Manual,-1
169060,1,Manual,-1
169063,1,Manual,-1
169074,1,Manual,-1
169083,1,Manual,-1
169090,1,Manual,-1
169097,1,Manual,-1
169101,1,Manual,-1
169106,1,Manual,-1
169109,1,Manual,-1
169110,1,Manual,-1
169112,1,Manual,-1
169121,1,Manual,-1
169126,1,ROBOT,5
169132,1,ROBOT,5
169146,1,Manual,-1
169150,1,Manual,-1
169160,1,Manual,-1
169161,1,Manual,-1
169165,1,Manual,-1
169172,1,Manual,-1
169179,1,Manual,-1
169182,1,Manual,-1
169186,1,ROBOT,6
169189,1,ROBOT,6
169191,1,Manual,-1
169193,1,ROBOT,6
169197,1,ROBOT,6
169201,1,Manual,-1
169203,1,ROBOT,6
169226,1,Manual,-1
169253,1,Manual,-1
169256,1,Manual,-1
169259,1,Manual,-1
169263,1,Manual,-1
169264,1,Manual,-1
169265,1,Manual,-1
169273,1,Manual,-1
169277,1,Manual,-1
169284,1,Manual,-1
169286,1,Manual,-1
169288,1,Manual,-1
169289,1,Manual,-1
169307,1,Manual,-1
169312,1,Manual,-1
169321,1,Manual,-1
169331,1,Manual,-1
169332,1,Manual,-1
169336,1,Manual,-1
169342,1,Manual,-1
169350,1,Manual,-1
169351,1,Manual,-1
169354,1,Manual,-1
169369,1,Manual,-1
169371,1,Manual,-1
169372,1,Manual,-1
169374,1,Manual,-1
169378,1,Manual,-1
169379,1,Manual,-1
169381,1,Manual,-1
169406,1,Manual,-1
169408,1,Manual,-1
169411,1,Manual,-1
169417,1,Manual,-1
169421,1,Manual,-1
169430,1,Manual,-1
169435,1,Manual,-1
169447,1,Manual,-1
169497,1,Manual,-1
169499,1,Manual,-1
169501,1,Manual,-1
169508,1,Manual,-1
169516,1,Manual,-1
169519,1,Manual,-1
169522,1,Manual,-1
169523,1,Manual,-1
169524,1,Manual,-1
169525,1,Manual,-1
169527,1,Manual,-1
169546,1,Manual,-1
169547,1,Manual,-1
169548,1,Manual,-1
169549,1,Manual,-1
169550,1,Manual,-1
169554,1,Manual,-1
169556,1,Manual,-1
169557,1,Manual,-1
169570,1,Manual,-1
169596,1,Manual,-1
169603,1,Manual,-1
169628,1,Manual,-1
169633,1,Manual,-1
169640,1,Manual,-1
169641,1,Manual,-1
169650,1,Manual,-1
169653,1,Manual,-1
169661,1,Manual,-1
169665,1,Manual,-1
169668,1,Manual,-1
169670,1,Manual,-1
169671,1,Manual,-1
169684,1,Manual,-1
169695,1,Manual,-1
169696,1,Manual,-1
169729,1,Manual,-1
169734,1,Manual,-1
169744,1,Manual,-1
169749,1,Manual,-1
