,seconds,price,buy_sell,round
0,19142.553,165,1,896
1,19158.845,580,1,896
2,19167.074999999997,290,1,896
3,19185.260000000002,560,-1,896
4,19212.877999999997,595,1,896
5,19213.785000000003,420,-1,896
6,19221.353000000003,590,1,896
7,19224.231,400,-1,896
8,19229.927000000003,600,1,896
9,19234.369,600,1,896
10,19234.718999999997,380,-1,896
11,19238.802000000003,600,1,896
12,19241.873,545,-1,896
13,19242.212,600,1,896
14,19244.053,600,1,896
15,19244.297,370,-1,896
16,19246.731,255,-1,896
17,19249.013,600,-1,896
18,19249.826,255,1,896
19,19256.911,605,1,896
20,19258.777000000002,500,-1,896
21,19265.199,250,-1,896
22,19265.201,245,-1,896
23,19265.203,240,-1,896
24,19265.209000000003,165,-1,896
25,19266.059,255,1,896
26,19268.142999999996,500,-1,896
27,19278.375,310,-1,896
28,19286.949999999997,265,-1,896
29,19300.355000000003,265,-1,896
30,19314.75,265,-1,896
31,19321.424,255,1,896
32,19321.428,255,1,896
33,19321.896999999997,410,1,896
34,19331.102,500,-1,896
35,19345.733999999997,500,-1,896
36,19345.900999999998,505,1,896
37,19353.614,505,1,896
38,19399.722,505,-1,896
39,19403.102,505,1,896
40,19408.203999999998,505,-1,896
41,19410.275999999998,505,-1,896
42,19412.586000000003,505,1,896
43,19416.667,505,-1,896
44,19423.177000000003,505,-1,896
45,19425.659,505,-1,896
46,19430.074,505,-1,896
47,19763.911999999997,405,1,897
48,19767.794,600,-1,897
49,19772.369,405,1,897
50,19774.61,600,-1,897
51,19777.002,405,-1,897
52,19781.370000000003,405,1,897
53,19784.544,405,1,897
54,19785.82,590,1,897
55,19788.572999999997,405,1,897
56,19798.677000000003,525,1,897
57,19812.326,595,1,897
58,19812.763,600,1,897
59,19823.278,595,1,897
60,19827.754,595,1,897
61,19855.688000000002,600,1,897
62,19856.201999999997,605,1,897
63,19856.616,605,1,897
64,19857.184,610,1,897
65,19960.453999999998,550,1,897
66,19971.061999999998,490,-1,897
67,19971.489,485,-1,897
68,19973.989999999998,490,-1,897
69,19975.220999999998,595,1,897
70,19975.222999999998,615,1,897
71,19976.508,490,-1,897
72,19978.980000000003,490,-1,897
73,19998.646999999997,615,1,897
74,20038.008,580,1,897
75,20312.509,585,1,898
76,20312.511,590,1,898
77,20315.478000000003,595,-1,898
78,20319.629,595,-1,898
79,20329.942000000003,595,1,898
80,20334.379,595,1,898
81,20409.629,545,1,898
82,20428.622000000003,495,-1,898
83,20428.624000000003,475,-1,898
84,20428.625999999997,445,-1,898
85,20428.627,420,-1,898
86,20436.194000000003,445,-1,898
87,20438.650999999998,445,-1,898
88,20443.117,455,-1,898
89,20445.915999999997,445,-1,898
90,20448.417,470,-1,898
91,20450.907,465,-1,898
92,20453.341999999997,455,-1,898
93,20493.116,555,1,898
94,20493.118000000002,570,1,898
95,20498.709000000003,580,1,898
96,20498.712,630,1,898
97,20645.347999999998,375,-1,899
98,20710.843,545,1,899
99,20718.701,545,-1,899
100,20719.265,440,-1,899
101,20719.684,435,-1,899
102,20722.491,545,-1,899
103,20741.726000000002,545,-1,899
104,20745.758,545,-1,899
105,20773.123,545,-1,899
106,20802.992,560,1,899
107,20825.321000000004,530,-1,899
108,20833.873,545,1,899
109,20834.288999999997,550,1,899
110,20838.845999999998,545,1,899
