,RE_BUY,RE_SELL,RE_BUYSELL,MM_BUY,MM_SELL,MM_BUYSELL
0,8,5,1,5,7,9
1,14,1,2,11,4,0
2,4,1,1,8,2,4
3,8,3,0,3,4,2
4,1,0,1,2,10,2
5,2,2,1,0,7,1
6,2,2,1,3,8,0
7,0,3,3,2,7,1
8,0,2,0,5,7,0
9,0,6,0,3,1,0
10,0,2,0,3,2,0
11,0,3,0,1,9,1
12,0,1,1,3,8,3
13,1,0,0,0,3,1
14,4,2,0,0,2,3
