,total_order_each_period,total_trade_each_period,total_robot_order_each_period,total_robot_trade_each_period,total_robotrobot_trade_each_period
0,123,47,44,33,7
1,106,28,38,23,6
2,76,22,19,12,0
3,89,29,27,20,2
4,94,32,32,22,3
5,68,16,22,11,5
6,55,19,25,15,5
7,89,30,35,26,4
8,72,16,12,4,0
9,45,3,8,0,0
10,33,9,8,5,0
11,62,20,14,7,2
12,105,47,51,41,3
13,36,14,19,14,2
14,52,23,34,20,8
