,total_order_each_period,total_trade_each_period,total_robot_order_each_period,total_robot_trade_each_period,total_robotrobot_trade_each_period
0,258,107,132,92,30
1,365,164,174,124,31
2,240,108,118,95,14
3,206,85,84,63,14
4,197,87,79,58,12
5,166,60,53,38,7
6,174,67,39,30,4
7,160,61,29,18,1
8,143,43,57,34,0
9,205,84,57,47,3
10,134,58,39,30,2
11,179,79,69,58,7
12,56,17,18,12,3
13,97,31,43,15,1
14,137,37,42,18,5
