,participant,start_time,end_time,duration,robot_side,robot_type,robot_fv,robot_submit
0,0.0,30117.0,30123.0,6.0,SELL,REACTIVE,450.0,4.0
1,0.0,30137.0,30142.0,5.0,BUY,REACTIVE,500.0,4.0
2,0.0,30174.0,30216.0,42.0,BUY,REACTIVE,600.0,0.0
3,0.0,30252.0,30292.0,40.0,BUY,REACTIVE,600.0,1.0
4,0.0,30350.0,30408.0,58.0,BUY,REACTIVE,600.0,1.0
5,0.0,30487.0,30527.0,40.0,"BUY,SELL",MARKET_MAKER,650.0,0.0
6,0.0,30553.0,30583.0,30.0,SELL,MARKET_MAKER,650.0,7.0
7,0.0,30606.0,30764.0,158.0,SELL,MARKET_MAKER,650.0,7.0
8,0.0,30843.0,30868.0,25.0,SELL,REACTIVE,675.0,2.0
9,0.0,30885.0,30960.0,75.0,SELL,REACTIVE,650.0,0.0
10,0.0,30965.0,31002.0,37.0,SELL,REACTIVE,625.0,0.0
11,0.0,31005.0,31031.0,26.0,SELL,MARKET_MAKER,625.0,5.0
12,0.0,31036.0,31052.0,16.0,SELL,MARKET_MAKER,625.0,2.0
13,0.0,31059.0,31083.0,24.0,SELL,MARKET_MAKER,625.0,3.0
14,0.0,31149.0,31165.0,16.0,SELL,MARKET_MAKER,625.0,3.0
15,0.0,31196.0,31203.0,7.0,SELL,MARKET_MAKER,625.0,1.0
16,0.0,31264.0,31297.0,33.0,SELL,MARKET_MAKER,625.0,2.0
17,0.0,31378.0,31382.0,4.0,BUY,MARKET_MAKER,600.0,1.0
18,0.0,31457.0,31511.0,54.0,BUY,REACTIVE,625.0,3.0
19,0.0,31531.0,31570.0,39.0,BUY,REACTIVE,625.0,6.0
20,0.0,31583.0,31613.0,30.0,BUY,REACTIVE,625.0,0.0
21,0.0,31637.0,31639.0,2.0,BUY,REACTIVE,600.0,0.0
22,0.0,31705.0,31728.0,23.0,BUY,MARKET_MAKER,600.0,0.0
23,0.0,31745.0,31800.0,55.0,"BUY,SELL",MARKET_MAKER,600.0,1.0
24,0.0,31820.0,31827.0,7.0,BUY,REACTIVE,600.0,0.0
25,0.0,31841.0,31957.0,116.0,BUY,REACTIVE,600.0,0.0
26,0.0,31959.0,32054.0,95.0,SELL,REACTIVE,625.0,0.0
27,0.0,32065.0,32117.0,52.0,SELL,REACTIVE,650.0,3.0
28,0.0,32125.0,32160.0,35.0,SELL,REACTIVE,650.0,0.0
29,0.0,32196.0,32380.0,184.0,SELL,REACTIVE,650.0,0.0
30,0.0,32446.0,32623.0,177.0,SELL,REACTIVE,625.0,0.0
31,0.0,32704.0,32914.0,210.0,SELL,REACTIVE,650.0,2.0
32,0.0,32951.0,33079.0,128.0,BUY,REACTIVE,450.0,0.0
33,0.0,33349.0,33371.0,22.0,SELL,REACTIVE,575.0,0.0
34,0.0,33721.0,33841.0,120.0,SELL,REACTIVE,575.0,0.0
0,1.0,31456.0,31637.0,181.0,SELL,REACTIVE,625.0,4.0
1,1.0,31865.0,31965.0,100.0,BUY,MARKET_MAKER,600.0,0.0
2,1.0,32039.0,32113.0,74.0,BUY,MARKET_MAKER,600.0,1.0
0,2.0,30107.0,30133.0,26.0,"BUY,SELL",MARKET_MAKER,600.0,8.0
1,2.0,30205.0,30415.0,210.0,"BUY,SELL",MARKET_MAKER,600.0,50.0
2,2.0,30477.0,30704.0,227.0,"BUY,SELL",MARKET_MAKER,600.0,59.0
3,2.0,30743.0,30766.0,23.0,"BUY,SELL",MARKET_MAKER,625.0,7.0
4,2.0,30843.0,31050.0,207.0,"BUY,SELL",MARKET_MAKER,600.0,34.0
5,2.0,31057.0,31083.0,26.0,"BUY,SELL",MARKET_MAKER,625.0,10.0
6,2.0,31149.0,31393.0,244.0,"BUY,SELL",MARKET_MAKER,600.0,26.0
7,2.0,31455.0,31493.0,38.0,"BUY,SELL",MARKET_MAKER,600.0,11.0
8,2.0,31520.0,31642.0,122.0,"BUY,SELL",MARKET_MAKER,625.0,36.0
9,2.0,31702.0,31886.0,184.0,"BUY,SELL",MARKET_MAKER,600.0,18.0
10,2.0,31948.0,32066.0,118.0,"BUY,SELL",MARKET_MAKER,650.0,20.0
11,2.0,32070.0,32132.0,62.0,"BUY,SELL",MARKET_MAKER,600.0,1.0
12,2.0,32197.0,32221.0,24.0,"BUY,SELL",MARKET_MAKER,600.0,8.0
13,2.0,32292.0,32296.0,4.0,"BUY,SELL",MARKET_MAKER,675.0,1.0
14,2.0,32303.0,32386.0,83.0,"BUY,SELL",MARKET_MAKER,650.0,1.0
15,2.0,32447.0,32491.0,44.0,"BUY,SELL",MARKET_MAKER,600.0,15.0
16,2.0,32550.0,32564.0,14.0,"BUY,SELL",MARKET_MAKER,675.0,0.0
17,2.0,32573.0,32636.0,63.0,"BUY,SELL",MARKET_MAKER,625.0,7.0
18,2.0,32702.0,32888.0,186.0,"BUY,SELL",MARKET_MAKER,625.0,32.0
19,2.0,32952.0,32980.0,28.0,"BUY,SELL",MARKET_MAKER,625.0,6.0
20,2.0,33010.0,33076.0,66.0,BUY,REACTIVE,600.0,8.0
21,2.0,33426.0,33475.0,49.0,"BUY,SELL",MARKET_MAKER,575.0,11.0
22,2.0,33910.0,33941.0,31.0,"BUY,SELL",MARKET_MAKER,575.0,12.0
0,3.0,30108.0,30126.0,18.0,BUY,MARKET_MAKER,625.0,0.0
1,3.0,30141.0,30164.0,23.0,"BUY,SELL",REACTIVE,525.0,2.0
2,3.0,30180.0,30210.0,30.0,BUY,MARKET_MAKER,525.0,8.0
3,3.0,30228.0,30239.0,11.0,"BUY,SELL",MARKET_MAKER,500.0,1.0
4,3.0,30260.0,30273.0,13.0,"BUY,SELL",MARKET_MAKER,550.0,5.0
5,3.0,30335.0,30352.0,17.0,BUY,MARKET_MAKER,450.0,1.0
6,3.0,30381.0,30390.0,9.0,BUY,MARKET_MAKER,475.0,0.0
7,3.0,30406.0,30413.0,7.0,SELL,REACTIVE,475.0,0.0
8,3.0,30475.0,30496.0,21.0,BUY,MARKET_MAKER,650.0,4.0
9,3.0,30506.0,30527.0,21.0,"BUY,SELL",MARKET_MAKER,500.0,7.0
10,3.0,30541.0,30569.0,28.0,BUY,REACTIVE,525.0,7.0
11,3.0,30571.0,30582.0,11.0,BUY,MARKET_MAKER,650.0,0.0
12,3.0,30597.0,30613.0,16.0,SELL,MARKET_MAKER,650.0,4.0
13,3.0,30629.0,30647.0,18.0,SELL,REACTIVE,75.0,1.0
14,3.0,30735.0,30743.0,8.0,BUY,REACTIVE,625.0,7.0
15,3.0,30758.0,30768.0,10.0,BUY,MARKET_MAKER,525.0,0.0
16,3.0,30851.0,30863.0,12.0,"BUY,SELL",MARKET_MAKER,700.0,0.0
17,3.0,30870.0,30883.0,13.0,"BUY,SELL",MARKET_MAKER,600.0,6.0
