,time,bid_ask,round
0,19412,-1,1601
1,19416,-1,1601
2,19421,-1,1601
3,19424,-1,1601
4,19427,-1,1601
5,19430,-1,1601
6,19433,-1,1601
7,19436,-1,1601
8,19438,-1,1601
9,19442,-1,1601
10,19445,195,1601
11,19448,190,1601
12,19448,190,1601
13,19451,460,1601
14,19454,180,1601
15,19454,180,1601
16,19457,485,1601
17,19460,455,1601
18,19465,10,1601
19,19481,445,1601
20,19484,450,1601
21,19490,5,1601
22,19497,135,1601
23,19498,150,1601
24,19503,175,1601
25,19547,270,1601
26,19590,5,1601
27,19591,5,1601
28,19596,175,1601
29,19599,175,1601
30,19604,175,1601
31,19607,205,1601
32,19611,190,1601
33,19618,385,1601
34,19620,385,1601
35,19631,390,1601
36,19664,80,1601
37,19981,10,1602
38,19985,-1,1602
39,19986,-1,1602
40,19988,10,1602
41,19988,10,1602
42,19991,-1,1602
43,20008,10,1602
44,20020,5,1602
45,20071,10,1602
46,20075,5,1602
47,20078,40,1602
48,20081,5,1602
49,20084,40,1602
50,20120,5,1602
51,20128,30,1602
52,20161,10,1602
53,20171,10,1602
54,20195,10,1602
55,20225,25,1602
56,20227,15,1602
57,20230,15,1602
58,20239,10,1602
59,20245,-1,1602
60,20450,115,1603
61,20460,115,1603
62,20465,135,1603
63,20468,180,1603
64,20471,30,1603
65,20477,-1,1603
66,20483,425,1603
67,20502,135,1603
68,20504,80,1603
69,20505,5,1603
70,20511,10,1603
71,20611,55,1603
72,20622,-1,1603
73,20638,-1,1603
74,20649,10,1603
75,20814,60,1604
76,20821,40,1604
77,20858,85,1604
78,20874,95,1604
79,20893,55,1604
80,20906,55,1604
81,20917,5,1604
82,20918,80,1604
83,20919,80,1604
84,20920,80,1604
85,20930,-1,1604
86,20934,80,1604
87,20937,70,1604
88,20938,70,1604
89,20970,65,1604
90,20971,65,1604
91,20986,70,1604
92,21254,75,1605
93,21287,-1,1605
94,21287,-1,1605
95,21288,5,1605
96,21289,5,1605
97,21291,5,1605
98,21291,5,1605
99,21292,5,1605
100,21311,-1,1605
101,21581,45,1606
102,21581,45,1606
103,21582,45,1606
104,21597,45,1606
105,21603,15,1606
106,21612,5,1606
107,21621,30,1606
108,21625,25,1606
109,21626,25,1606
110,21631,-1,1606
111,21639,5,1606
112,21641,5,1606
113,21644,-1,1606
114,21853,-1,1607
115,21853,-1,1607
116,21896,-1,1607
117,21901,-1,1607
118,21904,20,1607
119,21905,20,1607
120,22128,-1,1608
121,22154,-1,1608
122,22166,-1,1608
123,22184,-1,1608
124,22398,-1,1609
125,22423,-1,1609
126,22423,-1,1609
127,22431,-1,1609
128,22437,-1,1609
129,22447,-1,1609
130,22465,-1,1609
131,22472,-1,1609
132,22477,-1,1609
133,22484,-1,1609
134,22640,-1,1610
135,22645,-1,1610
136,22653,-1,1610
137,22653,-1,1610
138,22654,-1,1610
139,22656,20,1610
140,22657,20,1610
141,22661,-1,1610
142,22662,-1,1610
143,22663,-1,1610
144,22666,85,1610
145,22671,65,1610
146,22936,45,1611
147,22982,5,1611
148,22996,15,1611
149,23202,225,1612
150,23248,-1,1612
151,23264,-1,1612
152,23270,-1,1612
153,23305,-1,1612
154,23472,5,1613
155,23478,150,1613
156,23522,145,1613
157,23546,140,1613
158,23799,95,1614
159,23779,5,1614
160,23782,5,1614
161,23783,5,1614
162,23783,5,1614
163,23783,5,1614
164,23790,5,1614
165,23791,5,1614
166,23793,50,1614
167,23797,45,1614
168,23798,45,1614
169,23801,50,1614
170,23859,45,1614
171,23961,-1,1615
172,23962,-1,1615
173,23985,-1,1615
174,24006,-1,1615
175,24087,-1,1615
176,24096,-1,1615
177,24102,-1,1615
178,24120,25,1615
179,24120,25,1615
