Order_ID,Participant,Type,Period_IF_Robot
314761,0,Manual,-1
314764,0,Manual,-1
314773,0,Manual,-1
314810,0,ROBOT,0
314812,0,ROBOT,0
314815,0,ROBOT,0
314822,0,Manual,-1
314830,0,Manual,-1
314834,0,Manual,-1
314841,0,ROBOT,0
314845,0,ROBOT,0
314881,0,ROBOT,0
314886,0,ROBOT,0
314901,0,Manual,-1
314905,0,ROBOT,1
314906,0,ROBOT,1
314911,0,ROBOT,1
314914,0,ROBOT,1
314920,0,ROBOT,1
314921,0,ROBOT,1
314925,0,ROBOT,1
314931,0,ROBOT,1
314932,0,Manual,-1
314946,0,ROBOT,1
314949,0,ROBOT,1
314952,0,ROBOT,1
314959,0,ROBOT,1
314963,0,Manual,-1
314965,0,Manual,-1
314972,0,Manual,-1
314985,0,Manual,-1
315007,0,ROBOT,1
315022,0,Manual,-1
315023,0,ROBOT,2
315026,0,ROBOT,2
315030,0,ROBOT,2
315051,0,ROBOT,2
315053,0,ROBOT,2
315054,0,ROBOT,2
315060,0,Manual,-1
315063,0,Manual,-1
315078,0,Manual,-1
315080,0,Manual,-1
315081,0,ROBOT,2
315083,0,Manual,-1
315091,0,Manual,-1
315101,0,Manual,-1
315114,0,Manual,-1
315131,0,ROBOT,3
315132,0,ROBOT,3
315136,0,ROBOT,3
315140,0,ROBOT,3
315145,0,ROBOT,3
315147,0,ROBOT,3
315153,0,ROBOT,3
315154,0,ROBOT,3
315212,0,Manual,-1
315222,0,Manual,-1
315255,0,ROBOT,5
315256,0,ROBOT,5
315257,0,ROBOT,5
315261,0,ROBOT,5
315263,0,ROBOT,5
315271,0,ROBOT,5
315274,0,ROBOT,5
315278,0,ROBOT,5
315282,0,ROBOT,5
315291,0,ROBOT,5
315295,0,ROBOT,5
315329,0,Manual,-1
315404,0,Manual,-1
315411,0,Manual,-1
315416,0,Manual,-1
315440,0,Manual,-1
315446,0,Manual,-1
315450,0,Manual,-1
315454,0,Manual,-1
315470,0,Manual,-1
315478,0,Manual,-1
315482,0,ROBOT,9
315486,0,Manual,-1
315488,0,ROBOT,9
315491,0,ROBOT,9
315492,0,ROBOT,9
315499,0,Manual,-1
315501,0,ROBOT,9
315503,0,ROBOT,9
315505,0,ROBOT,9
315509,0,ROBOT,9
315513,0,ROBOT,9
315537,0,Manual,-1
315547,0,Manual,-1
315548,0,Manual,-1
315557,0,Manual,-1
315592,0,Manual,-1
315628,0,Manual,-1
315636,0,Manual,-1
315646,0,Manual,-1
315666,0,Manual,-1
315669,0,Manual,-1
315715,0,Manual,-1
315734,0,Manual,-1
315736,0,Manual,-1
315743,0,Manual,-1
315748,0,Manual,-1
315752,0,Manual,-1
315754,0,Manual,-1
315764,0,Manual,-1
315766,0,Manual,-1
315767,0,Manual,-1
315771,0,Manual,-1
315773,0,Manual,-1
315816,0,ROBOT,14
314770,1,Manual,-1
314803,1,Manual,-1
314814,1,Manual,-1
314820,1,Manual,-1
314837,1,Manual,-1
314858,1,Manual,-1
314887,1,Manual,-1
314889,1,Manual,-1
314895,1,Manual,-1
314919,1,ROBOT,1
314940,1,ROBOT,1
314975,1,Manual,-1
315015,1,Manual,-1
315028,1,ROBOT,2
315035,1,ROBOT,2
315039,1,ROBOT,2
315062,1,Manual,-1
315116,1,ROBOT,3
315122,1,ROBOT,3
315128,1,ROBOT,3
315135,1,Manual,-1
315169,1,Manual,-1
315171,1,Manual,-1
315182,1,Manual,-1
315208,1,ROBOT,4
315219,1,ROBOT,4
315331,1,ROBOT,6
315344,1,Manual,-1
315349,1,Manual,-1
315355,1,Manual,-1
315369,1,Manual,-1
315375,1,Manual,-1
315394,1,Manual,-1
315408,1,Manual,-1
315461,1,Manual,-1
315464,1,Manual,-1
315468,1,Manual,-1
315476,1,Manual,-1
315493,1,ROBOT,9
315495,1,ROBOT,9
315515,1,Manual,-1
315518,1,Manual,-1
315522,1,Manual,-1
315535,1,Manual,-1
315544,1,Manual,-1
315545,1,Manual,-1
315550,1,ROBOT,10
315556,1,Manual,-1
315566,1,Manual,-1
315581,1,Manual,-1
315601,1,ROBOT,11
315608,1,Manual,-1
315609,1,Manual,-1
315611,1,Manual,-1
315614,1,Manual,-1
315620,1,Manual,-1
315626,1,Manual,-1
315645,1,Manual,-1
315650,1,Manual,-1
315653,1,Manual,-1
315654,1,ROBOT,12
315668,1,Manual,-1
315671,1,Manual,-1
315682,1,Manual,-1
315692,1,Manual,-1
315698,1,Manual,-1
315711,1,Manual,-1
315718,1,Manual,-1
315779,1,Manual,-1
