,total_order_each_period,total_trade_each_period,total_robot_order_each_period,total_robot_trade_each_period,total_robotrobot_trade_each_period
0,106,37,51,32,9
1,68,23,31,18,8
2,54,15,21,12,3
3,53,17,14,13,0
4,41,9,8,4,0
5,44,13,15,10,1
6,25,6,5,1,0
7,31,4,1,0,0
8,49,10,6,0,0
9,53,12,16,8,3
10,34,3,7,1,0
11,28,5,2,1,0
12,27,4,1,1,0
13,44,13,0,0,0
14,53,10,4,1,0
