,RE_BUY,RE_SELL,RE_BUYSELL,MM_BUY,MM_SELL,MM_BUYSELL
0,5,2,2,0,6,6
1,5,1,2,0,7,0
2,3,4,0,0,5,2
3,3,6,0,0,2,0
4,2,4,1,0,3,0
5,1,3,0,0,2,0
6,1,3,0,0,3,0
7,2,1,0,0,1,0
8,1,1,0,0,0,0
9,0,2,0,0,1,0
10,1,1,0,0,2,0
11,0,4,0,0,0,0
12,0,4,0,0,0,0
13,0,2,0,0,0,0
14,1,2,0,0,6,0
