,time,bid_ask,round
0,19302,-1,1673
1,19303,-1,1673
2,19304,-1,1673
3,19305,-1,1673
4,19306,-1,1673
5,19307,-1,1673
6,19308,-1,1673
7,19309,-1,1673
8,19310,-1,1673
9,19311,-1,1673
10,19312,-1,1673
11,19313,-1,1673
12,19314,260,1673
13,19315,260,1673
14,19316,260,1673
15,19317,260,1673
16,19318,260,1673
17,19319,260,1673
18,19320,260,1673
19,19321,260,1673
20,19322,260,1673
21,19323,260,1673
22,19324,260,1673
23,19325,235,1673
24,19326,235,1673
25,19327,235,1673
26,19328,235,1673
27,19329,235,1673
28,19330,235,1673
29,19331,235,1673
30,19332,235,1673
31,19333,235,1673
32,19334,235,1673
33,19335,260,1673
34,19336,260,1673
35,19337,260,1673
36,19338,260,1673
37,19339,260,1673
38,19340,260,1673
39,19341,260,1673
40,19342,260,1673
41,19343,260,1673
42,19344,260,1673
43,19345,260,1673
44,19346,260,1673
45,19347,260,1673
46,19348,260,1673
47,19349,260,1673
48,19350,60,1673
49,19351,55,1673
50,19352,10,1673
51,19353,10,1673
52,19354,10,1673
53,19355,10,1673
54,19356,10,1673
55,19357,10,1673
56,19358,10,1673
57,19359,10,1673
58,19360,10,1673
59,19361,10,1673
60,19362,10,1673
61,19363,10,1673
62,19364,10,1673
63,19365,10,1673
64,19366,10,1673
65,19367,10,1673
66,19368,10,1673
67,19369,60,1673
68,19370,60,1673
69,19371,60,1673
70,19372,60,1673
71,19373,10,1673
72,19374,10,1673
73,19375,10,1673
74,19376,10,1673
75,19377,10,1673
76,19378,10,1673
77,19379,10,1673
78,19380,10,1673
79,19381,10,1673
80,19382,10,1673
81,19383,10,1673
82,19384,10,1673
83,19385,10,1673
84,19386,10,1673
85,19387,10,1673
86,19388,10,1673
87,19389,10,1673
88,19390,55,1673
89,19391,85,1673
90,19392,10,1673
91,19393,10,1673
92,19394,85,1673
93,19395,85,1673
94,19396,85,1673
95,19397,10,1673
96,19398,85,1673
97,19399,85,1673
98,19400,85,1673
99,19401,85,1673
100,19402,85,1673
101,19403,85,1673
102,19404,85,1673
103,19405,85,1673
104,19406,85,1673
105,19407,80,1673
106,19408,80,1673
107,19409,80,1673
108,19410,80,1673
109,19411,80,1673
110,19412,80,1673
111,19413,80,1673
112,19414,80,1673
113,19415,55,1673
114,19416,55,1673
115,19417,55,1673
116,19418,80,1673
117,19419,80,1673
118,19420,80,1673
119,19421,80,1673
120,19422,80,1673
121,19423,80,1673
122,19424,80,1673
123,19425,80,1673
124,19426,5,1673
125,19427,80,1673
126,19428,80,1673
127,19429,5,1673
128,19430,80,1673
129,19431,10,1673
130,19432,80,1673
131,19433,80,1673
132,19434,10,1673
133,19435,10,1673
134,19436,80,1673
135,19437,80,1673
136,19438,100,1673
137,19439,30,1673
138,19440,80,1673
139,19441,80,1673
140,19442,80,1673
141,19443,5,1673
142,19444,80,1673
143,19445,80,1673
144,19446,5,1673
145,19447,5,1673
146,19448,80,1673
147,19449,80,1673
148,19450,80,1673
149,19451,10,1673
150,19452,80,1673
151,19453,80,1673
152,19454,10,1673
153,19455,80,1673
154,19456,80,1673
155,19457,10,1673
156,19458,10,1673
157,19459,60,1673
158,19460,60,1673
159,19461,60,1673
160,19462,80,1673
161,19463,80,1673
162,19464,60,1673
163,19465,60,1673
164,19466,60,1673
165,19467,60,1673
166,19468,60,1673
167,19469,60,1673
168,19470,60,1673
169,19471,60,1673
170,19472,60,1673
171,19473,55,1673
172,19474,55,1673
173,19475,55,1673
174,19476,55,1673
175,19477,55,1673
176,19478,55,1673
177,19479,55,1673
178,19480,55,1673
179,19481,55,1673
180,19482,55,1673
181,19483,55,1673
182,19484,55,1673
183,19485,55,1673
184,19486,55,1673
185,19487,55,1673
186,19488,55,1673
187,19489,55,1673
188,19490,55,1673
189,19491,55,1673
190,19492,55,1673
191,19493,55,1673
192,19494,55,1673
193,19495,55,1673
194,19496,55,1673
195,19497,55,1673
196,19498,55,1673
197,19499,55,1673
198,19500,55,1673
199,19501,55,1673
200,19502,55,1673
201,19503,55,1673
202,19504,55,1673
203,19505,55,1673
204,19506,55,1673
205,19507,55,1673
206,19508,55,1673
207,19509,55,1673
208,19510,55,1673
209,19511,55,1673
210,19512,55,1673
211,19513,55,1673
212,19514,55,1673
213,19515,55,1673
214,19516,55,1673
215,19517,55,1673
216,19518,55,1673
217,19519,55,1673
218,19520,55,1673
219,19521,55,1673
220,19522,55,1673
221,19523,55,1673
222,19524,55,1673
223,19525,55,1673
224,19526,55,1673
225,19527,55,1673
226,19528,55,1673
227,19529,55,1673
228,19530,60,1673
229,19531,95,1673
230,19532,50,1673
231,19533,10,1673
232,19534,15,1673
233,19535,15,1673
234,19536,30,1673
235,19537,10,1673
236,19538,30,1673
237,19539,-1,1673
238,19540,-1,1673
239,19541,-1,1673
240,19542,-1,1673
241,19543,-1,1673
242,19544,-1,1673
243,19545,-1,1673
244,19546,-1,1673
245,19547,-1,1673
246,19548,-1,1673
247,19549,-1,1673
248,19550,-1,1673
249,19551,-1,1673
250,19552,-1,1673
251,19553,-1,1673
252,19554,-1,1673
253,19555,-1,1673
254,19556,-1,1673
255,19557,-1,1673
256,19558,-1,1673
257,19559,35,1673
258,19560,35,1673
259,19561,35,1673
260,19562,35,1673
261,19563,35,1673
262,19564,35,1673
263,19565,35,1673
264,19566,35,1673
265,19567,35,1673
266,19568,60,1673
267,19569,60,1673
268,19570,60,1673
269,19571,60,1673
270,19572,60,1673
271,19573,60,1673
272,19574,60,1673
273,19575,60,1673
274,19576,60,1673
275,19577,60,1673
276,19578,60,1673
277,19579,60,1673
278,19580,60,1673
279,19581,165,1673
280,19582,165,1673
281,19583,165,1673
282,19584,10,1673
283,19585,10,1673
284,19586,10,1673
285,19587,165,1673
286,19588,165,1673
287,19589,10,1673
288,19590,10,1673
289,19591,10,1673
290,19592,10,1673
291,19593,10,1673
292,19594,10,1673
293,19595,105,1673
294,19596,105,1673
295,19597,105,1673
296,19598,10,1673
297,19599,10,1673
298,19600,-1,1673
299,19601,-1,1673
300,19602,-1,1673
301,19603,10,1673
