Order_ID,Participant,Type,Period_IF_Robot
406040,2,Manual,-1
406055,2,Manual,-1
406061,2,Manual,-1
406076,2,Manual,-1
406117,2,Manual,-1
406126,2,Manual,-1
406151,2,Manual,-1
406158,2,Manual,-1
406182,2,Manual,-1
406216,2,Manual,-1
406232,2,Manual,-1
406255,2,Manual,-1
406259,2,Manual,-1
406283,2,Manual,-1
406295,2,Manual,-1
406317,2,Manual,-1
406321,2,Manual,-1
406337,2,Manual,-1
406358,2,Manual,-1
406369,2,Manual,-1
406396,2,Manual,-1
406409,2,Manual,-1
406428,2,Manual,-1
406458,2,Manual,-1
406475,2,Manual,-1
406497,2,Manual,-1
406503,2,Manual,-1
406533,2,Manual,-1
406570,2,Manual,-1
406595,2,Manual,-1
406634,2,Manual,-1
406681,2,Manual,-1
406708,2,Manual,-1
406724,2,Manual,-1
406742,2,Manual,-1
406745,2,Manual,-1
406775,2,Manual,-1
406833,2,Manual,-1
406839,2,Manual,-1
406843,2,Manual,-1
406888,2,Manual,-1
406902,2,Manual,-1
407014,2,Manual,-1
407030,2,Manual,-1
405596,3,Manual,-1
405603,3,Manual,-1
405605,3,Manual,-1
405608,3,Manual,-1
405612,3,Manual,-1
405621,3,ROBOT,0
405626,3,ROBOT,0
405630,3,ROBOT,0
405635,3,ROBOT,0
405644,3,ROBOT,0
405648,3,ROBOT,0
405653,3,ROBOT,0
405658,3,ROBOT,0
405661,3,ROBOT,0
405665,3,ROBOT,0
405668,3,ROBOT,0
405678,3,Manual,-1
405681,3,ROBOT,0
405683,3,ROBOT,0
405688,3,ROBOT,0
405699,3,ROBOT,0
405723,3,Manual,-1
405729,3,Manual,-1
405768,3,Manual,-1
405777,3,Manual,-1
405794,3,ROBOT,1
405796,3,ROBOT,1
405817,3,ROBOT,1
405837,3,Manual,-1
405839,3,Manual,-1
405846,3,Manual,-1
405849,3,Manual,-1
405851,3,Manual,-1
405854,3,Manual,-1
405856,3,Manual,-1
405859,3,Manual,-1
405862,3,Manual,-1
405865,3,Manual,-1
405905,3,ROBOT,2
405931,3,ROBOT,2
405944,3,ROBOT,2
405946,3,ROBOT,2
405949,3,ROBOT,2
405953,3,ROBOT,2
405956,3,ROBOT,2
405961,3,ROBOT,2
405963,3,Manual,-1
405965,3,ROBOT,2
405967,3,ROBOT,2
405970,3,ROBOT,2
405972,3,ROBOT,2
405978,3,ROBOT,2
405979,3,ROBOT,2
405980,3,ROBOT,2
405981,3,ROBOT,2
405994,3,ROBOT,2
406007,3,Manual,-1
406022,3,ROBOT,3
406032,3,Manual,-1
406053,3,Manual,-1
406068,3,ROBOT,3
406071,3,ROBOT,3
406074,3,ROBOT,3
406078,3,ROBOT,3
406081,3,ROBOT,3
406082,3,ROBOT,3
406083,3,ROBOT,3
406086,3,ROBOT,3
406095,3,Manual,-1
406099,3,ROBOT,3
406104,3,ROBOT,3
406114,3,Manual,-1
406144,3,Manual,-1
406154,3,Manual,-1
406155,3,Manual,-1
406162,3,Manual,-1
406164,3,Manual,-1
406173,3,Manual,-1
406175,3,Manual,-1
406177,3,Manual,-1
406181,3,Manual,-1
406188,3,ROBOT,5
406192,3,ROBOT,5
406196,3,ROBOT,5
406201,3,ROBOT,5
406204,3,ROBOT,5
406207,3,ROBOT,5
406211,3,ROBOT,5
406214,3,ROBOT,5
406217,3,ROBOT,5
406221,3,ROBOT,5
406238,3,Manual,-1
406239,3,ROBOT,5
406241,3,ROBOT,5
406243,3,ROBOT,5
406245,3,ROBOT,5
406247,3,ROBOT,5
406252,3,Manual,-1
406258,3,Manual,-1
406272,3,Manual,-1
406277,3,Manual,-1
406293,3,ROBOT,6
406298,3,ROBOT,6
406301,3,ROBOT,6
406305,3,ROBOT,6
406306,3,ROBOT,6
406309,3,ROBOT,6
406323,3,Manual,-1
406328,3,Manual,-1
406331,3,Manual,-1
406345,3,ROBOT,7
406366,3,Manual,-1
406375,3,Manual,-1
406384,3,ROBOT,8
406421,3,ROBOT,8
406423,3,ROBOT,8
406424,3,ROBOT,8
406426,3,ROBOT,8
406430,3,ROBOT,8
406463,3,Manual,-1
406465,3,Manual,-1
406467,3,Manual,-1
406471,3,Manual,-1
406473,3,Manual,-1
406474,3,Manual,-1
406480,3,Manual,-1
406481,3,Manual,-1
406494,3,ROBOT,9
406506,3,Manual,-1
406507,3,Manual,-1
406510,3,Manual,-1
406520,3,Manual,-1
406522,3,Manual,-1
406524,3,Manual,-1
406526,3,Manual,-1
406528,3,Manual,-1
406534,3,Manual,-1
406539,3,ROBOT,10
406541,3,Manual,-1
406543,3,ROBOT,10
406544,3,Manual,-1
406546,3,ROBOT,10
406548,3,ROBOT,10
406550,3,ROBOT,10
406556,3,Manual,-1
406558,3,Manual,-1
406560,3,Manual,-1
406567,3,Manual,-1
406571,3,Manual,-1
406574,3,Manual,-1
406577,3,Manual,-1
406582,3,Manual,-1
406591,3,Manual,-1
406600,3,Manual,-1
406604,3,Manual,-1
406609,3,Manual,-1
406610,3,Manual,-1
406617,3,Manual,-1
406619,3,Manual,-1
406638,3,Manual,-1
406639,3,Manual,-1
406641,3,Manual,-1
406662,3,Manual,-1
406673,3,ROBOT,12
406685,3,Manual,-1
406706,3,Manual,-1
406711,3,ROBOT,12
406720,3,Manual,-1
406725,3,Manual,-1
406730,3,Manual,-1
406736,3,Manual,-1
406749,3,Manual,-1
406763,3,ROBOT,13
406765,3,ROBOT,13
406768,3,ROBOT,13
406771,3,ROBOT,13
406783,3,ROBOT,13
406788,3,ROBOT,13
406799,3,ROBOT,13
406803,3,ROBOT,13
406806,3,ROBOT,13
406808,3,ROBOT,13
406834,3,ROBOT,13
406844,3,Manual,-1
406885,3,ROBOT,14
406926,3,Manual,-1
407023,3,Manual,-1
405587,4,ROBOT,0
405595,4,Manual,-1
405599,4,Manual,-1
405601,4,Manual,-1
405615,4,ROBOT,0
405717,4,Manual,-1
405722,4,Manual,-1
405745,4,Manual,-1
405746,4,ROBOT,1
405750,4,Manual,-1
405790,4,Manual,-1
405809,4,Manual,-1
405812,4,Manual,-1
405820,4,Manual,-1
405822,4,Manual,-1
405829,4,Manual,-1
405832,4,Manual,-1
405853,4,Manual,-1
405871,4,Manual,-1
405904,4,Manual,-1
405937,4,Manual,-1
405977,4,Manual,-1
406035,4,ROBOT,3
406036,4,ROBOT,3
406042,4,ROBOT,3
406059,4,Manual,-1
406066,4,Manual,-1
406080,4,Manual,-1
406087,4,Manual,-1
406091,4,Manual,-1
406094,4,Manual,-1
406102,4,Manual,-1
406108,4,Manual,-1
406110,4,Manual,-1
406115,4,Manual,-1
406128,4,Manual,-1
406129,4,Manual,-1
406131,4,Manual,-1
406203,4,Manual,-1
406210,4,Manual,-1
406219,4,Manual,-1
406225,4,Manual,-1
406228,4,Manual,-1
406235,4,Manual,-1
406348,4,Manual,-1
406356,4,Manual,-1
406393,4,Manual,-1
406397,4,Manual,-1
406403,4,Manual,-1
406429,4,Manual,-1
406436,4,Manual,-1
406437,4,Manual,-1
406485,4,Manual,-1
406490,4,Manual,-1
406530,4,Manual,-1
406531,4,Manual,-1
406588,4,Manual,-1
406596,4,Manual,-1
406597,4,Manual,-1
406618,4,Manual,-1
406621,4,Manual,-1
406626,4,Manual,-1
406652,4,Manual,-1
406656,4,Manual,-1
406657,4,Manual,-1
406658,4,Manual,-1
406780,4,ROBOT,13
406787,4,ROBOT,13
406793,4,ROBOT,13
406801,4,ROBOT,13
406811,4,ROBOT,13
406815,4,ROBOT,13
406819,4,ROBOT,13
406828,4,ROBOT,13
406830,4,ROBOT,13
406838,4,ROBOT,13
406849,4,ROBOT,14
406857,4,ROBOT,14
406865,4,ROBOT,14
406873,4,ROBOT,14
406881,4,ROBOT,14
406883,4,ROBOT,14
406889,4,ROBOT,14
406891,4,ROBOT,14
406895,4,ROBOT,14
406897,4,ROBOT,14
406900,4,ROBOT,14
406908,4,ROBOT,14
406910,4,ROBOT,14
406912,4,ROBOT,14
406919,4,ROBOT,14
406921,4,ROBOT,14
406927,4,ROBOT,14
406931,4,ROBOT,14
406936,4,ROBOT,14
406940,4,ROBOT,14
406944,4,ROBOT,14
406949,4,ROBOT,14
406954,4,ROBOT,14
406958,4,ROBOT,14
406962,4,ROBOT,14
406966,4,ROBOT,14
406971,4,ROBOT,14
406975,4,ROBOT,14
406979,4,ROBOT,14
406998,4,ROBOT,14
407002,4,ROBOT,14
407009,4,ROBOT,14
407033,4,ROBOT,14
407037,4,ROBOT,14
407041,4,ROBOT,14
407043,4,ROBOT,14
407047,4,ROBOT,14
407051,4,ROBOT,14
407055,4,ROBOT,14
407059,4,ROBOT,14
407064,4,ROBOT,14
405619,5,Manual,-1
405622,5,Manual,-1
405624,5,Manual,-1
405627,5,Manual,-1
405639,5,Manual,-1
405641,5,Manual,-1
405651,5,Manual,-1
405686,5,Manual,-1
405691,5,Manual,-1
405693,5,Manual,-1
405697,5,Manual,-1
405701,5,Manual,-1
405878,5,Manual,-1
405918,5,ROBOT,2
405936,5,Manual,-1
